Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
ChefsClub,https://www.crunchbase.com/organization/chefsclub,"Food and Beverage, Internet, Mobile, Restaurants","Rio De Janeiro, Rio de Janeiro, Brazil",ChefsClub is an online restaurant booking platform,"49,359",Latin America,$1M to $10M,Active,2012-05-11,day,,,,,For Profit,http://www.chefsclub.com.br,https://www.twitter.com/chefsclub,http://www.facebook.com/ChefsClub.com.br,https://www.linkedin.com/company/chefsclub/,guilherme@chefsclub.com.br,+552125325484,3,,"A Club of advantages for the lovers of gastronomy. How does ChefsClub work? Here the client pays an annuity - as in any club; choose from the 450 partner restaurants you want to go to and get exclusive benefits such as 30% to 50% discounts on the menu. Membership can be made through our website (www.chefsclub.com.br) and you will receive at home a personalized metal card that must be presented at the agreed houses. The discount benefit includes an escort and in many places you can take up to nine friends to enjoy the advantages of the club.  Created to be a sustainable business model, ChefsClub offers advantages to everyone: the associated client receives various benefits such as discounts, and restaurants have the opportunity to fill their empty desks at zero cost and with no contractual ties. Other important advantages offered to partner houses are the constant communication of the brand in the channels of communication occupied by the ChefsClub and the extra flow of qualified clients with the guarantee of a significant increase of revenue throughout the year.  Today, ChefsClub also has important partners such as O Globo, Multiplus, Vivo and Kilometers of Ipiranga Advantage. Enter now for the Club! For corporate sales, send an email to corporativo@chefsclub.com.brelada! With ChefsClub eating well will be cheaper than ever. Other important advantages offered to partner houses are the constant communication of the brand in the channels of communication occupied by the ChefsClub and the extra flow of qualified clients with the guarantee of a significant increase of revenue throughout the year. Today, ChefsClub also has important partners such as O Globo, Multiplus, Vivo and Kilometers of Ipiranga Advantage.  Enter now for the Club! For corporate sales, send an email to corporativo@chefsclub.com.brelada! With ChefsClub eating well will be cheaper than ever. Other important advantages offered to partner houses are the constant communication of the brand in the channels of communication occupied by the ChefsClub and the extra flow of qualified clients with the guarantee of a significant increase of revenue throughout the year. Today, ChefsClub also has important partners such as O Globo, Multiplus, Vivo and Kilometers of Ipiranga Advantage.  Enter now for the Club! For corporate sales, send an email to corporativo@chefsclub.com.brelada! With ChefsClub eating well will be cheaper than ever. send an email to the corporate@chefsclub.com.brelada! With ChefsClub eating well will be cheaper than ever. send an email to the corporate@chefsclub.com.brelada! With ChefsClub eating well will be cheaper than ever.",,,,,,,,,,,,,,"Food and Beverage, Internet Services, Mobile",2,"Fabrizio Serra, Guilherme Mynssen",11-50,2,Early Stage Venture,2016-04-26,800000,USD,800000,Series B,800000,USD,800000,Series B,1800000,USD,1800000,1800000,USD,1800000,Confrapar,1,1,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,178",73,1,"9,523",36,,,,,,,,
MELHOR ENVIO,https://www.crunchbase.com/organization/melhor-envio,"E-Commerce, Freight Service, Logistics","Pelotas, Rio Grande do Sul, Brazil","Melhor Envio is the logistics gateway for e-commerce, bringing more competitiveness to small virtual stores on the internet","49,515",Latin America,,Active,2015-03-12,day,,,,,For Profit,https://www.melhorenvio.com.br,https://www.twitter.com/melhorenvio,https://www.facebook.com/melhorenvio,https://www.linkedin.com/in/melhorenvio,contato@melhorenvio.com.br,,,,Melhor Envio provides cheaper shipping costs for e-commerce. The company also collects packages for free and provide automation for shipped items' tracking. Melhor Envio's system also asks for insurance automatically when some item is lost by the logistics company.,,,,,,,,,,,,,,"Commerce and Shopping, Transportation",1,Eder Medeiros,11-50,3,Seed,2017-10-12,500000,BRL,157709,Seed,500000,BRL,157709,Seed,500000,BRL,157709,620000,BRL,194615,"Bossa Nova Investimentos, ACE Startups, SEBRAE - RS",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,339",83,,,21,,,,,,,,
Levee,https://www.crunchbase.com/organization/levee,"Apps, Artificial Intelligence, Employment, Information Technology, Machine Learning, Mobile, SMS","São Paulo, Sao Paulo, Brazil",Levee develops solutions to help large enterprises remove bottlenecks in productivity and efficiency.,"49,538",Latin America,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://levee.com.br/,,https://www.facebook.com/leveeML/,https://www.linkedin.com/company/levee.ml/,levee@levee.com.br,+55 (11) 4118.0535,9,,"LEVEE is a technology company reinventing productivity and the future of work. By using artificial intelligence and machine learning, LEVEE develops solutions focused on improving efficiency in operations and processes, tackling some of the most complex systemic challenges people and companies confront in growth economies. Through the testing of new technologies, methods, and data, LEVEE's visionary products bring intelligence to the decision making process, helping companies to reduce the US$ 100 million yearly losses caused by unproductive operations.  Composed by a group of top scientists, economists, and engineers, LEVEE was recently awarded by the Massachusetts Institute of Technology (MIT) as the Latin America winner on its Inclusive Innovation Challenge, mainly due to the expressive social and economic impact its solutions are bringing to companies, people and the world. The founders met at Stanford University in 1999, and are a close, cross-disciplinary team with emerging markets-based experience in entrepreneurship, investing, law, engineering and development economics. The company was founded in Brazil in 2012 to address the perfect storm of mobile technology democratization, constrained urban mobility and the burgeoning services sectors in emerging markets metropolises.",,,,,,,,,,,,,,"Apps, Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Professional Services, Science and Engineering, Software",3,"Derek Fears, Jacob Rosenbloom, Nathan Dee",11-50,5,,2020-02-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,50000,USD,50000,"500 Startups, Monashees, Qualcomm Ventures, Igah, Ventures., TheVentureCity Fund",1,9,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,362",4,,,,,,,,,,,
Delfos,https://www.crunchbase.com/organization/delfos-intelligent-maintenance,"Artificial Intelligence, Database, Machine Learning, Renewable Energy, SaaS","Fortaleza, Mato Grosso do Sul, Brazil",Delfos provides Artificial Intelligence for the Energy Industry in order to predict failures.,"49,853",Latin America,$1M to $10M,Active,2016-01-01,year,,,,,For Profit,http://delfosim.com,,,https://www.linkedin.com/company/15228733,contato@delfosim.com,55 85 3267 2660,,,"Delfos is an intelligent maintenance platform that integrates state of the art machine learning modules, and technical knowledge to transform the already available data from the wind turbine into useful information. It was developed to provide customers the ability to achieve operational excellence by leveraging all the available operational data within the organization to optimize asset performance and retain key operational knowledge. The company was founded in 2017 and is based in Fortaleza in Brazil.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Energy, Science and Engineering, Software, Sustainability",2,"Guilherme Pinheiro Studart, Samuel Lima",1-10,1,Seed,2018-12-27,1500000,BRL,387206,Seed,1500000,BRL,387206,Seed,1500000,BRL,387206,1500000,BRL,387206,"Bossa Nova Investimentos, EDP Ventures, BMG UpTech",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"51,685",62,,,,,,,,,,,
Treevia - Forest Technologies,https://www.crunchbase.com/organization/treevia,"Agriculture, AgTech, Artificial Intelligence, Environmental Engineering, Forestry, GreenTech, Hardware, Internet of Things, Predictive Analytics, Software","São José Dos Campos, Sao Paulo, Brazil",Treevia is literally connecting forests around the world into the internet to ensure more sustainable use of natural resources.,"49,994",Latin America,,Active,2016-01-01,year,,,,,For Profit,https://treevia.com.br/,https://twitter.com/treeviaforest,https://www.facebook.com/treeviaforest/,https://www.linkedin.com/company/treevia---forest-technologies/,contato@treevia.com.br,+55 12 3921-2319,,,"Treevia is a developer of solutions that will make forest monitoring faster, more reliable, and more secure. The company brings cutting edge of information technology in their solution. Intelligence generated with algorithms of Big Data, Machine Learning and Internet sensors of Things (IoT).",,,,,,,,,,,,,,"Agriculture and Farming, Artificial Intelligence, Data and Analytics, Hardware, Internet Services, Science and Engineering, Software, Sustainability",3,"Emily Shinzato, Esthevan Gasparoto, Maycow Berbert",11-50,6,Seed,2018-06-01,200000,BRL,53113,Pre-Seed,200000,BRL,53113,Pre-Seed,2240000,BRL,669148,2240000,BRL,669148,"Samsung Electronics, Santander Bank, Fundação de Amparo à Pesquisa do Estado de SP, Anjos do Brasil",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"51,833",32,,,,,,,,,,,
Altave,https://www.crunchbase.com/organization/altave,"Aerospace, Security","São José Dos Campos, Sao Paulo, Brazil","Altave is an aerospace industry that focuses on lighter than air solutions for defense, security, agriculture etc.","50,256",Latin America,,Active,2011-01-01,year,,,,,For Profit,http://www.altave.com.br,https://twitter.com/flyaltave,https://www.facebook.com/ALTAVE.face,https://www.linkedin.com/company/altave---brazil,contato@altave.com.br,+55 12 3913-5900,,,"Altave is an aerospace industry that focuses on lighter than air solutions for defense, security, agriculture etc. The company also provides video monitoring and connectivity for agribusiness, environmental monitoring, telecommunications, mining & construction, and defense & security. In 2016, Altave gained international notoriety due to its success in the implementation of four wide-area persistent surveillance balloons in the RIO 2016 Olympic Games, ensuring the safety of all Olympic venues in Rio de Janeiro. Altave was founded in 2011 and is headquartered in Sao Paulo, Brazil.",,,,,,,,,,,,,,"Privacy and Security, Science and Engineering",2,"Bruno Avena, Leonardo Mendes Nogueira",11-50,2,,2018-03-27,5000000,BRL,1503239,Venture - Series Unknown,5000000,BRL,1503239,Venture - Series Unknown,5000000,BRL,1503239,5000000,BRL,1503239,"Crescera Investimentos (f/k/a Bozano Investimentos), Confrapar, Triaxis Capital",1,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"52,105",21,,,15,,,,,,,,
Kovi,https://www.crunchbase.com/organization/kovi,"Automotive, Big Data, Car Sharing, Information Technology, Rental, Transportation","São Paulo, Sao Paulo, Brazil",Kovi is an online car rental startup that provides self-drive car rental service.,"50,413",Latin America,$1M to $10M,Active,2018-06-01,month,,,,,For Profit,https://www.kovi.com.br/,https://twitter.com/koviapp,https://www.facebook.com/meukovi/,https://www.linkedin.com/company/kovihq/,parceiros@kovi.com.br,,1,,"Kovi is a provider of rental cars for on-demand drivers in Latin America. At Kovi, they challenge the inertia of the market to allow people to get around as efficiently and cheaply as possible. To do this, they use technologies to provide access to more straightforward, cost-effective, and secure solutions. Founded on 2018, Kovi cooperates with automakers and small rental companies to lease transportation out to last-mile delivery drivers. It is headquartered in São Paulo, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Data and Analytics, Information Technology, Transportation",3,"Adhemar Milani Neto, Bruno Poljokan, Joao Costa",101-250,2,Early Stage Venture,2019-11-05,30000000,USD,30000000,Series A,30000000,USD,30000000,Series A,40600000,USD,40600000,40600000,USD,40600000,"Y Combinator, Global Founders Capital, Quona Capital, Monashees, Ariel Lambrecht",3,10,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"52,268",26,,,,,,,,,,,
PLANIUM,https://www.crunchbase.com/organization/planium-071b,"Health Care, Health Insurance, Information Technology, InsurTech","Rio De Janeiro, Rio de Janeiro, Brazil",HEALTH PLAN MARKETPLACE FOR FAMILIES AND SMB.,"50,802",Latin America,,Active,2009-06-06,day,,,,,For Profit,https://www.planium.io,,,https://www.linkedin.com/company/planium-saude,danilo@planium.com.br,+ 55 21 999690415,4,,,,,,,,,,,,,,,,"Financial Services, Health Care, Information Technology",,,11-50,2,Seed,2018-03-01,170000,BRL,52281,Pre-Seed,170000,BRL,52281,Pre-Seed,370000,BRL,116257,370000,BRL,116257,"Darwin Startups, SEARCHERS",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"52,677",4,,,,,,,,,,,
TNH Health,https://www.crunchbase.com/organization/tnh-health,"Artificial Intelligence, Health Care, Health Insurance, mHealth","Rio Negrinho, Santa Catarina, Brazil",TNH Health creates AI-powered chatbots to help healthcare organizations engage and monitor large patient populations.,"50,863",Latin America,$1M to $10M,Active,2013-01-01,year,,,,,For Profit,https://tnh.health,https://twitter.com/tnhhealth,https://www.facebook.com/tnhhealth/,https://www.linkedin.com/company/tnh-digital-health/,contato@ta-na-hora.com,+55 (11) 3807-8737,2,,"TNH Health creates AI-powered chatbots to help healthcare organizations engage and monitor large patient populations. Its expertise is built around population health management for emerging markets and its solutions have been specifically designed for low and middle-income populations where cost and access continue to be major constraints. The company works with public health systems to educate and monitor their populations, many of which are resource-constrained. Some of work includes: monitoring Zika and Dengue outbreaks, educating low-income expectant mothers, and improving the success of family health programs. The company also work with private payers, both large and small, to help them implement prevention programs that save both lives and dollars.  Employers hire TNH to engage their workforces in healthy behaviors, especially if their employees are distributed geographically. Its bots are also used by pharmaceutical companies to improve their patient programs and increase medication adherence. It is also involved in several major clinical research studies. TNH Health is based in Brazil with offices in São Paulo and Santa Catarina states.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Financial Services, Health Care, Mobile, Science and Engineering, Software",4,"Andre Sakata, Juliano Froehner, Michael Kapps, Thomas Prufer",11-50,1,Early Stage Venture,2019-09-24,2000000,USD,2000000,Series A,2000000,USD,2000000,Series A,2000000,USD,2000000,2000000,USD,2000000,"Valor Capital Group, Green Rock",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"52,745",,,,16,,,,,,,,
Cruzeiro do Sul,https://www.crunchbase.com/organization/cruzeiro-do-sul,"EdTech, Education","São Paulo, Sao Paulo, Brazil",Cruzeiro do Sul educacional offers vocational distance vocational courses.,"51,190",Latin America,$50M to $100M,Active,1965-01-01,year,,,,,For Profit,http://www.cruzeirodosul.edu.br,https://twitter.com/acruzeirodosul,https://www.facebook.com/acruzeirodosul,https://www.linkedin.com/school/534228,,55 11 2672-6200,,,,,,,,,,,,,,,,1,"Education, Software",,,501-1000,1,Private Equity,2012-01-23,102000000,USD,102000000,Private Equity,102000000,USD,102000000,Private Equity,102000000,USD,102000000,102000000,USD,102000000,Actis,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,082",97,,,,,,,,,,,
FacilitaPay,https://www.crunchbase.com/organization/facilitapay,"Banking, Financial Services, FinTech, Mobile Payments, Payments","Nova Lima, Minas Gerais, Brazil",FacilitaPay provides payment and hedging solutions for international companies that explores Brazilian market.,"51,202",Latin America,,Active,2017-07-01,day,,,,,For Profit,https://www.facilitapay.com,,,https://br.linkedin.com/company/facilitapay,hello@facilitapay.com,+553131956300,,,"FacilitaPay is a financial services firm that provides payment and hedging solutions for international companies that explores the Brazilian market. The firm's goal is to build value for its clients, structuring the most complex solutions for companies that have differentiated needs. FacilitaPay was founded in 2017 and is headquartered in Nova Lima, Minas Gerais.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Mobile, Payments, Software",3,"Ricardo Reis, Ricardo Reis, Stephano M",11-50,2,Seed,2018-06-01,500000,USD,500000,Seed,500000,USD,500000,Seed,510000,USD,510000,510000,USD,510000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,094",23,,,,,,,,,,,
Smartbreeder,https://www.crunchbase.com/organization/smartbreeder,"Agriculture, AgTech, Artificial Intelligence, Farming, Predictive Analytics, Sustainability","Piracicaba, Sao Paulo, Brazil",Smartbreeder is a digital agronomic intelligence company that promotes sustainable agriculture.,"51,292",Latin America,Less than $1M,Active,2010-01-01,year,,,,,For Profit,http://www.smartbreeder.com.br,,https://www.facebook.com/smartbreederBI/,https://www.linkedin.com/company/smartbreeder/,contato@smartbreeder.com.br,(19) 3423-9508,1,,"Smartbreeder is a digital agronomic intelligence company that promotes sustainable agriculture with high efficiency of agricultural inputs, reducing costs, increasing productivity and rationalizing the decision-making process at all stages of crop management.",,,,,,,,,,,,,,"Agriculture and Farming, Artificial Intelligence, Data and Analytics, Science and Engineering, Software, Sustainability",,,11-50,2,Early Stage Venture,2018-03-19,5000000,BRL,1521838,Series A,5000000,BRL,1521838,Series A,5000000,BRL,1521838,5000000,BRL,1521838,"KPTL, Inseed Investimentos",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,187",34,,,,,,,,,,,
Construct,https://www.crunchbase.com/organization/construct-latam,"Construction, Information Technology, Mobile Apps, SaaS, Software","Belo Horizonte, Minas Gerais, Brazil",Construct develops a field communication platform for construction projects.,"51,342",Latin America,$1M to $10M,Active,2014-01-01,day,,,,,For Profit,http://www.constructapp.io/,http://twitter.com/constructapp,https://www.facebook.com/constructappbr/,https://www.linkedin.com/company/construct-app/,support@constructapp.io,1(415)702-0634,11,,"Construct develops a field communication platform for construction projects. Its platform enables engineers, architects, and project managers to communicate and collaborate in the construction supply chain network. Drew Beaurline and Patrick Albert founded Construct on January 1, 2014. It has its headquarters in Belo Horizonte in Brazil.",,,,,,,,,,,,,,"Apps, Information Technology, Mobile, Real Estate, Software",2,"Drew Beaurline, Patrick Albert",11-50,5,,2018-09-21,,,,Convertible Note,,,,Venture - Series Unknown,36000,USD,36000,636000,USD,636000,"Plug and Play, Fundacity, Clemens Raemy, SEED MG",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,238",40,,,20,,,,,,,,
Bebe Store,https://www.crunchbase.com/organization/bebestore,"Baby, E-Commerce, Retail","São Paulo, Sao Paulo, Brazil","Bebe Store is an online retail service for buying baby products such as clothes, shoes, strollers, and baby seats.","51,370",Latin America,$50M to $100M,Active,2009-01-01,year,,,,,For Profit,http://www.bebestore.com.br,http://twitter.com/bebestore,http://www.facebook.com/bebestore,,contato@bebestore.com.br,+55 11 4314-2900,2,,"Bebe Store is an online retail service for buying baby products such as clothes, shoes, strollers, and baby seats. The company was named Info-Prize Info-Exam-Startup Magazine of the Year of 2012. Bebe Store was founded in 2009 and is based in Sao Paulo, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle",2,"Juliana Nina, Leonardo Simao",51-100,2,Early Stage Venture,2013-03-14,10200000,USD,10200000,Series B,10200000,USD,10200000,Series B,18000000,USD,18000000,18000000,USD,18000000,"Atomico, Endeavor Catalyst, W7 Venture Capital",2,3,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,267",1,,,18,,,,,,,,
XCLOUDGAME,https://www.crunchbase.com/organization/xcloudgame,"E-Commerce, Gaming, Online Games","São Paulo, Sao Paulo, Brazil","XCLOUDGAME is an online store offering mobile, PC, and online games.","51,417",Latin America,$1M to $10M,Active,2013-01-01,day,,,,,For Profit,https://www.xcloudgame.com/,https://twitter.com/xcloudgame1,https://www.facebook.com/xcloudgame/,https://www.linkedin.com/company/xcloud-game/about/,xcloudstore@xcloudgame.com,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Gaming",,,11-50,3,Early Stage Venture,2018-01-08,20000000,CNY,3077751,Series B,20000000,CNY,3077751,Series B,41000000,CNY,6472385,41000000,CNY,6472385,"JOYY, Innoangel Fund, Engage Capital, Longtu Game, Boliu Capital",,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,316",59,,,15,,,,,,,,
Tindin Educação Financeira,https://www.crunchbase.com/organization/tindin-educação-financeira,"B2C, E-Learning, EdTech, Education, FinTech","Maringá, Parana, Brazil",Tindin is a digital electronic educational allowance portfolio (Fintech) integrated with a children's financial education platform (Edtech).,"51,527",Latin America,,Active,2018-04-01,month,,,,,For Profit,https://www.tindin.com.br/,,https://www.facebook.com/tindinoficial/,https://www.linkedin.com/company/tindin/,contato@tindin.com.br,+55 44 3040-2578,,,"The Tindin platform is a digital educational electronic allowance portfolio that enables parents and caregivers to set up assignments and assignments to reward children in a child-friendly environment. Within the platform the child is presented on a continuous basis to the good practices of personal and family financial management, developing their financial proficiency.",,,,,,,,,,,,,,"Education, Financial Services, Other, Software",1,Eduardo Schroeder,1-10,2,Seed,2020-01-01,1012000,BRL,251760,Seed,1012000,BRL,251760,Seed,1188000,BRL,296162,1188000,BRL,296162,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,428",36,,,,,,,,,,,
Nama Software,https://www.crunchbase.com/organization/nama-software,"Artificial Intelligence, Information Technology, Internet, Machine Learning, Software","São Paulo, Sao Paulo, Brazil","Nama is redefining search engines, transforming it into a request based conversational interface.","51,599",Latin America,,Active,2014-02-02,day,,,,,For Profit,http://www.nama.ai,https://www.twitter.com/NamaSoftware,https://www.facebook.com/9nama,https://www.linkedin.com/company/nama-software/,hi@nama.ai,+551126392577,,,"Nama is an Automated Chat Platform using true AI to make time-consuming services simpler, faster and more convenient, saving customers time and money. The Platform includes an proprietary AI API, an Open Source framework to develop chatbots and an AI suggestions system used by customer service representatives. Combining the best of human intelligence with machines, Nama enables companies to meet their increasing customer expectations at scale. Founded in 2014 in Brazil, Nama brings AI to people's hearts. Bad customer service costs money and customers. The cost of customer service wait times is $100 billion per year in the USA, according to clicksoftware.com.  Digital’s Customer Service Benchmark at compete.com indicates that people prefer chat over email or phone to relate to businesses by a margin of 41%.  Although chatbots can help users and businesses overcome these losses, there is no simple solution that combines the best aspects of live chat with humans and chatbots.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",1,Rodrigo Scotti,11-50,1,,2019-07-16,2500000,BRL,663375,Equity Crowdfunding,2500000,BRL,663375,Equity Crowdfunding,2500000,BRL,663375,2500000,BRL,663375,EqSeed,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,505",65,,,18,0,1,,Scientific and technological services,,,,
UpFlux,https://www.crunchbase.com/organization/upflux,"Analytics, Artificial Intelligence, Information Services, Information Technology, Machine Learning, Software","Jaraguá Do Sul, Santa Catarina, Brazil",UpFlux helps Organizations to Improve the Process Efficiency and Quality using Artificial Intelligence and Process Mining.,"51,714",Latin America,,Active,2017-09-01,month,,,,,For Profit,http://upflux.net/,,https://www.facebook.com/upflux.net,https://www.linkedin.com/company/upflux/,comercial@upflux.net,+55 47 99609 1191,,,"UpFlux helps health insurance and hospitals to improve operational efficiency, safety and quality avoiding nonconformities and waste. UpFlux is a cognitive platform that applies Artificial Intelligence techniques to dynamically evaluate the patient’s care flow in relation to medical protocols and guidelines. UpFlux is Health Tech, but we will drive growth and spread to other business segments, and, we have already been validated in industry.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",2,"Alex Meincheim, Cleiton dos Santos Garcia",11-50,1,Seed,2020-01-01,1030000,BRL,256238,Seed,1030000,BRL,256238,Seed,1030000,BRL,256238,1030000,BRL,256238,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,624",58,,,,,,,,,,,
Siteware,https://www.crunchbase.com/organization/siteware,"Application Performance Management, Enterprise Resource Planning (ERP), Enterprise Software, Internet, SaaS, Software","Belo Horizonte, Minas Gerais, Brazil",Siteware provides management solutions that increase engagement and company integration.,"51,949",Latin America,$1M to $10M,Active,2000-11-20,day,,,,,For Profit,http://siteware.com.br/,https://twitter.com/siteware,https://www.facebook.com/Siteware/,https://www.linkedin.com/company/siteware/,info@siteware.com.br,+55 31 3555-0200,,,"Siteware provides management solutions that increase engagement and company integration. Its solutions include RESULTs for monitoring the results of the organization’s processes; DASHBOARDs, a solution to prepare dashboards and management reports; ACTIONs, offers tools and methodologies for analysis and problem solving; DOCUMENTs, a solution for the control of document and organization patterns; PROJECTs, a project portfolio management solution; and MEETINGs a meetings solution that makes the access to issues discussed, facilitates the preparation of minutes, and enables the monitoring of personal and team pending tasks.  Siteware’s solutions are used by small, medium, and large companies as well as in various sectors of the Brazilian economy. Marcello Ladeira founded Siteware on November 20, 2000, with its headquarters in Belo Horizonte in Brazil.",,,,,,,,,,,,,,"Data and Analytics, Internet Services, Software",1,Marcello Ladeira,101-250,2,Seed,2018-01-02,1800000,BRL,552181,Seed,1800000,BRL,552181,Seed,4300000,BRL,1492890,4300000,BRL,1492890,"Crescera Investimentos (f/k/a Bozano Investimentos), Criatec 2",1,2,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"53,865",55,3,,,,,,,,,,
dLieve,https://www.crunchbase.com/organization/dlieve,"Apps, E-Commerce, Internet, iOS, Logistics, Mobile Apps, Social Media, Software, Transportation","São Paulo, Sao Paulo, Brazil","dLieve is an automated, personalized system that allows users to create efficient route plans while monitoring drivers.","52,057",Latin America,,Active,2017-02-01,day,2020-05-21,day,,,For Profit,https://www.dlieve.com,,https://www.facebook.com/appdlieve/,https://www.linkedin.com/company/dlieve-tecnologia/,contato@dlieve.com,+5511985255041,,,"dLieve is a web app logistics and last mile white label system that solves problems and helps retailers, carriers and e-commerce to have real-time delivery management and to provide a better customer experience, who wants visibility and ETA of their purchases, cause usually never knows when it gonna show up. We create a logistics control tower, shippers and carriers can have full operational control.",,,,,,,,,,,,,,"Apps, Commerce and Shopping, Internet Services, Media and Entertainment, Mobile, Platforms, Software, Transportation",3,"Bernard Lima, Patrick Rocha, Sergio Coutinho",11-50,2,M&A,2019-01-04,200000,USD,200000,Seed,200000,USD,200000,Seed,400000,USD,400000,400000,USD,400000,Bossa Nova Investimentos,,1,,Was Acquired,dLieve acquired by VTEX,https://www.crunchbase.com/acquisition/vtex-acquires-dlieve--f4ae2335,VTEX,https://www.crunchbase.com/organization/vtex,2020-05-21,day,,,,Acquisition,,Private,,,,,,,,,,,,,,,"53,978",45,,,,,,,,,,,
Raizs,https://www.crunchbase.com/organization/raizs,"Agriculture, Food and Beverage, Grocery, Organic Food, Retail Technology","São Paulo, Sao Paulo, Brazil",Raizs is an online sales platform that provides access to organic products and an opportunity to know the origin of the products.,"52,221",Latin America,,Active,2016-04-01,day,,,,,For Profit,https://www.raizs.com.br/,,https://www.facebook.com/raizsorg/,https://www.linkedin.com/company/ra%C3%ADzs/,contato@raizs.com.br,11- 3034-6455,,,"Raízs was born to strengthen the bond between local organic farmers and conscious consumers. Through machine learning and a virtual stock, we are able to optimise harvest production and avoid multiple steps in the supply chain. This generates visibility for the countryside  and accessibility for the city.",,,,,,,,,,,,,,"Agriculture and Farming, Commerce and Shopping, Food and Beverage, Hardware, Software",1,Tomás Abrahao,51-100,2,Seed,2018-12-01,720000,USD,720000,Pre-Seed,720000,USD,720000,Pre-Seed,815963,USD,815963,815963,USD,815963,"WeWork Creator Fund, Pedro Navio",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"54,151",38,,,,,,,,,,,
